"","feature","frequency","rank","docfreq","group"
"1","d'une",757,1,478,"all"
"2","politique",752,2,355,"all"
"3","plus",694,3,419,"all"
"4","publique",662,4,351,"all"
"5","gestion",650,5,312,"all"
"6","a",638,6,410,"all"
"7","politiques",622,7,326,"all"
"8","entre",578,8,381,"all"
"9","public",539,9,291,"all"
"10","d'un",508,10,353,"all"
"11","comme",426,11,301,"all"
"12","publiques",405,12,240,"all"
"13","publics",389,13,222,"all"
"14","services",339,14,159,"all"
"15","article",316,15,291,"all"
"16","mise",296,16,221,"all"
"17","système",293,17,185,"all"
"18","secteur",292,18,164,"all"
"19","cas",288,19,215,"all"
"20","acteurs",284,20,204,"all"
"21","service",273,21,149,"all"
"22","l'etat",269,22,144,"all"
"23","management",266,23,150,"all"
"24","france",265,24,181,"all"
"25","deux",259,25,192,"all"
"26","l'action",256,26,157,"all"
"27","recherche",256,26,161,"all"
"28","processus",255,28,186,"all"
"29","développement",252,29,162,"all"
"30","être",231,30,187,"all"
"31","contrôle",222,31,127,"all"
"32","l'évaluation",217,32,94,"all"
"33","peut",211,33,183,"all"
"34","place",210,34,173,"all"
"35","fait",210,34,181,"all"
"36","ainsi",200,36,168,"all"
"37","œuvre",198,37,145,"all"
"38","aussi",189,38,161,"all"
"39","pays",188,39,117,"all"
"40","dont",186,40,159,"all"
"41","collectivités",186,40,103,"all"
"42","économique",180,42,124,"all"
"43","cadre",179,43,147,"all"
"44","résultats",177,44,138,"all"
"45","marché",175,45,91,"all"
"46","années",173,46,148,"all"
"47","sociale",173,46,99,"all"
"48","rôle",167,48,143,"all"
"49","depuis",166,49,145,"all"
"50","l'analyse",165,50,134,"all"
"51","pratiques",164,51,118,"all"
"52","si",162,52,135,"all"
"53","entreprises",161,53,88,"all"
"54","analyse",160,54,141,"all"
"55","régulation",159,55,80,"all"
"56","niveau",158,56,120,"all"
"57","modèle",155,57,95,"all"
"58","fonction",155,57,104,"all"
"59","l'administration",154,59,102,"all"
"60","locales",153,60,103,"all"
"61","travail",149,61,97,"all"
"62","nouvelles",149,61,114,"all"
"63","question",146,63,123,"all"
"64","très",145,64,119,"all"
"65","notamment",144,65,126,"all"
"66","faire",143,66,125,"all"
"67","performance",142,67,62,"all"
"68","organisations",138,68,88,"all"
"69","réforme",138,68,90,"all"
"70","santé",138,68,61,"all"
"71","privé",135,71,87,"all"
"72","alors",133,72,115,"all"
"73","trois",132,73,111,"all"
"74","responsabilité",132,73,54,"all"
"75","part",131,75,118,"all"
"76","tout",130,76,118,"all"
"77","c'est",130,76,105,"all"
"78","contexte",130,76,108,"all"
"79","pouvoir",129,79,94,"all"
"80","où",129,79,108,"all"
"81","non",128,81,113,"all"
"82","effets",128,81,101,"all"
"83","différents",127,83,109,"all"
"84","bien",127,83,111,"all"
"85","comment",126,85,104,"all"
"86","permet",126,85,111,"all"
"87","sein",124,87,111,"all"
"88","droit",123,88,54,"all"
"89","nouvelle",122,89,100,"all"
"90","souvent",121,90,104,"all"
"91","changement",120,91,86,"all"
"92","l'article",120,91,104,"all"
"93","français",119,93,94,"all"
"94","relations",116,94,91,"all"
"95","aujourd'hui",116,94,105,"all"
"96","réformes",116,94,74,"all"
"97","gouvernance",115,97,61,"all"
"98","moins",112,98,98,"all"
"99","matière",112,98,91,"all"
"100","gouvernement",112,98,73,"all"
"101","montre",111,101,102,"all"
"102","objectifs",111,101,90,"all"
"103","partie",110,103,74,"all"
"104","domaine",109,104,88,"all"
"105","n'est",108,105,95,"all"
"106","modernisation",108,105,62,"all"
"107","mesure",107,107,83,"all"
"108","étude",105,108,93,"all"
"109","ressources",104,109,79,"all"
"110","modes",104,109,86,"all"
"111","temps",104,109,82,"all"
"112","peuvent",103,112,93,"all"
"113","d'action",103,112,76,"all"
"114","social",103,112,59,"all"
"115","effet",102,115,92,"all"
"116","partir",102,115,96,"all"
"117","local",102,115,75,"all"
"118","travers",102,115,94,"all"
"119","face",102,115,88,"all"
"120","façon",101,120,85,"all"
"121","nouveaux",101,120,84,"all"
"122","elles",100,122,76,"all"
"123","particulier",99,123,87,"all"
"124","donc",98,124,86,"all"
"125","qu'il",98,124,89,"all"
"126","démarche",96,126,69,"all"
"127","nature",96,126,85,"all"
"128","compte",96,126,87,"all"
"129","tant",95,129,89,"all"
"130","conditions",95,129,85,"all"
"131","qualité",95,129,64,"all"
"132","stratégies",94,132,67,"all"
"133","systèmes",94,132,70,"all"
"134","d'évaluation",94,132,67,"all"
"135","vers",94,132,86,"all"
